EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_IMMIGRATION_CATEGORY-COMPONENT	FR_CATÉGORIE_D'IMMIGRATION-COMPOSANTE	TOTAL
2022	Q3	Sep	2022	T3	sept.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	20
2026	Q1	Mar	2026	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Skilled Worker	Travailleurs qualifiés	--
2018	Q3	Aug	2018	T3	août	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	15
2020	Q2	May	2020	T2	mai	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	1305
2022	Q3	Aug	2022	T3	août	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	60
2020	Q3	Aug	2020	T3	août	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	40
2017	Q1	Jan	2017	T1	janv.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	15
2025	Q1	Mar	2025	T1	mars	Yukon	Yukon	Skilled Worker	Travailleurs qualifiés	--
2023	Q2	May	2023	T2	mai	Yukon	Yukon	Skilled Worker	Travailleurs qualifiés	--
2017	Q1	Jan	2017	T1	janv.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	--
2015	Q4	Oct	2015	T4	oct.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	10
2024	Q1	Feb	2024	T1	fév.	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2025	Q1	Feb	2025	T1	fév.	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	410
2022	Q1	Mar	2022	T1	mars	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	410
2020	Q3	Jul	2020	T3	juil.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	5
2017	Q1	Jan	2017	T1	janv.	Saskatchewan	Saskatchewan	Skilled Trade	Métiers spécialisés	5
2024	Q2	Jun	2024	T2	juin	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	440
2024	Q3	Jul	2024	T3	juil.	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	310
2021	Q1	Jan	2021	T1	janv.	Saskatchewan	Saskatchewan	Skilled Worker	Travailleurs qualifiés	10
2017	Q2	Apr	2017	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Trade	Métiers spécialisés	--
2025	Q2	Jun	2025	T2	juin	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	205
2019	Q1	Mar	2019	T1	mars	Alberta	Alberta	Skilled Trade	Métiers spécialisés	25
2016	Q3	Aug	2016	T3	août	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	200
2023	Q4	Nov	2023	T4	nov.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	275
2022	Q2	Apr	2022	T2	avr.	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	5
2025	Q2	Jun	2025	T2	juin	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	815
2020	Q2	Apr	2020	T2	avr.	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	5
2023	Q1	Mar	2023	T1	mars	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	5
2016	Q1	Mar	2016	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Skilled Worker	Travailleurs qualifiés	--
2026	Q2	Apr	2026	T2	avr.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	355
2018	Q4	Nov	2018	T4	nov.	Prince Edward Island	Île-du-Prince-Édouard	Skilled Worker	Travailleurs qualifiés	--
2024	Q3	Aug	2024	T3	août	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	315
2023	Q1	Feb	2023	T1	fév.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	20
2016	Q2	Jun	2016	T2	juin	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	200
2017	Q3	Aug	2017	T3	août	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	235
2018	Q4	Dec	2018	T4	déc.	Northwest Territories	Territoires du Nord-Ouest	Skilled Worker	Travailleurs qualifiés	--
2023	Q1	Feb	2023	T1	fév.	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	5
2017	Q3	Jul	2017	T3	juil.	Yukon	Yukon	Skilled Worker	Travailleurs qualifiés	--
2022	Q3	Sep	2022	T3	sept.	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	25
2023	Q3	Aug	2023	T3	août	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Provincial Nominee Program	Candidats des provinces ou des territoires	30
2024	Q4	Nov	2024	T4	nov.	Saskatchewan	Saskatchewan	Skilled Worker	Travailleurs qualifiés	40
2020	Q1	Jan	2020	T1	janv.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	30
2016	Q1	Feb	2016	T1	fév.	Saskatchewan	Saskatchewan	Skilled Trade	Métiers spécialisés	10
2025	Q2	May	2025	T2	mai	Nunavut	Nunavut	Skilled Worker	Travailleurs qualifiés	--
2018	Q1	Feb	2018	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	--
2021	Q4	Oct	2021	T4	oct.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	505
2019	Q2	Jun	2019	T2	juin	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	35
2022	Q1	Mar	2022	T1	mars	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	15
2019	Q2	Jun	2019	T2	juin	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	190
2017	Q2	Apr	2017	T2	avr.	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	175
2020	Q4	Nov	2020	T4	nov.	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	120
2023	Q1	Mar	2023	T1	mars	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2022	Q2	May	2022	T2	mai	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	20
2015	Q4	Nov	2015	T4	nov.	Nunavut	Nunavut	Canadian Experience	Catégorie de l’expérience canadienne	--
2023	Q1	Mar	2023	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2026	Q2	May	2026	T2	mai	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	780
2019	Q4	Nov	2019	T4	nov.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	635
2015	Q3	Aug	2015	T3	août	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	30
2017	Q3	Jul	2017	T3	juil.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	10
2022	Q3	Jul	2022	T3	juil.	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	900
2020	Q1	Mar	2020	T1	mars	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	20
2023	Q4	Dec	2023	T4	déc.	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	80
2025	Q3	Jul	2025	T3	juil.	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	25
2016	Q2	Apr	2016	T2	avr.	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2015	Q3	Sep	2015	T3	sept.	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	160
2018	Q4	Oct	2018	T4	oct.	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2024	Q4	Nov	2024	T4	nov.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	530
2025	Q3	Sep	2025	T3	sept.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	15
2019	Q2	Apr	2019	T2	avr.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	50
2018	Q4	Dec	2018	T4	déc.	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	--
2024	Q1	Feb	2024	T1	fév.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	25
2020	Q3	Aug	2020	T3	août	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	30
2024	Q1	Feb	2024	T1	fév.	Nunavut	Nunavut	Canadian Experience	Catégorie de l’expérience canadienne	--
2018	Q4	Dec	2018	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	--
2025	Q1	Feb	2025	T1	fév.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	135
2017	Q3	Sep	2017	T3	sept.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	10
2017	Q3	Aug	2017	T3	août	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	--
2019	Q1	Feb	2019	T1	fév.	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	70
2021	Q2	May	2021	T2	mai	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	20
2023	Q4	Nov	2023	T4	nov.	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	20
2024	Q4	Dec	2024	T4	déc.	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	155
2020	Q2	Apr	2020	T2	avr.	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	15
2018	Q4	Dec	2018	T4	déc.	Alberta	Alberta	Skilled Trade	Métiers spécialisés	--
2021	Q3	Sep	2021	T3	sept.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	20
2021	Q2	Apr	2021	T2	avr.	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	1715
2016	Q2	Apr	2016	T2	avr.	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	140
2024	Q4	Dec	2024	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	--
2021	Q4	Dec	2021	T4	déc.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	6235
2022	Q4	Nov	2022	T4	nov.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	240
2021	Q4	Dec	2021	T4	déc.	Yukon	Yukon	Skilled Worker	Travailleurs qualifiés	--
2017	Q4	Oct	2017	T4	oct.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2022	Q4	Nov	2022	T4	nov.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	45
2019	Q3	Sep	2019	T3	sept.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	60
2026	Q2	Jun	2026	T2	juin	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	10
2025	Q1	Feb	2025	T1	fév.	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	30
2019	Q3	Sep	2019	T3	sept.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	195
2021	Q4	Oct	2021	T4	oct.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	105
2017	Q2	May	2017	T2	mai	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	115
2020	Q1	Jan	2020	T1	janv.	Alberta	Alberta	Skilled Trade	Métiers spécialisés	30
2020	Q1	Jan	2020	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	Skilled Worker	Travailleurs qualifiés	--
2016	Q4	Dec	2016	T4	déc.	Alberta	Alberta	Skilled Trade	Métiers spécialisés	85
2019	Q4	Oct	2019	T4	oct.	Saskatchewan	Saskatchewan	Skilled Worker	Travailleurs qualifiés	40
2022	Q1	Mar	2022	T1	mars	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	85
2015	Q3	Aug	2015	T3	août	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	5
2019	Q1	Feb	2019	T1	fév.	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	--
2024	Q2	May	2024	T2	mai	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	840
2019	Q4	Nov	2019	T4	nov.	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	15
2018	Q1	Mar	2018	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Skilled Worker	Travailleurs qualifiés	5
2021	Q2	Apr	2021	T2	avr.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	--
2017	Q3	Aug	2017	T3	août	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	15
2024	Q1	Jan	2024	T1	janv.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	30
2024	Q3	Jul	2024	T3	juil.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	320
2021	Q2	Apr	2021	T2	avr.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2024	Q2	May	2024	T2	mai	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	40
2017	Q3	Sep	2017	T3	sept.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	60
2019	Q3	Aug	2019	T3	août	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	150
2017	Q3	Aug	2017	T3	août	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	1635
2025	Q3	Jul	2025	T3	juil.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Provincial Nominee Program	Candidats des provinces ou des territoires	20
2018	Q4	Oct	2018	T4	oct.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	2430
2022	Q2	Jun	2022	T2	juin	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	1525
2021	Q1	Jan	2021	T1	janv.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	330
2020	Q1	Feb	2020	T1	fév.	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	705
2016	Q2	Apr	2016	T2	avr.	Ontario	Ontario	Skilled Trade	Métiers spécialisés	35
2025	Q1	Jan	2025	T1	janv.	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	15
2021	Q1	Feb	2021	T1	fév.	Prince Edward Island	Île-du-Prince-Édouard	Skilled Worker	Travailleurs qualifiés	--
2019	Q1	Mar	2019	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2018	Q2	Jun	2018	T2	juin	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	795
2018	Q4	Dec	2018	T4	déc.	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	115
2024	Q3	Aug	2024	T3	août	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	35
2017	Q1	Mar	2017	T1	mars	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	680
2018	Q2	May	2018	T2	mai	Ontario	Ontario	Skilled Trade	Métiers spécialisés	40
2019	Q3	Sep	2019	T3	sept.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	10
2018	Q2	May	2018	T2	mai	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	25
2024	Q4	Nov	2024	T4	nov.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	195
2017	Q1	Feb	2017	T1	fév.	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	--
2018	Q3	Aug	2018	T3	août	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	15
2016	Q4	Dec	2016	T4	déc.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	15
2022	Q3	Aug	2022	T3	août	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	555
2018	Q2	Apr	2018	T2	avr.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	635
2026	Q2	Apr	2026	T2	avr.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	40
2021	Q4	Nov	2021	T4	nov.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	60
2020	Q2	Jun	2020	T2	juin	Northwest Territories	Territoires du Nord-Ouest	Skilled Worker	Travailleurs qualifiés	--
2016	Q1	Feb	2016	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	--
2023	Q4	Nov	2023	T4	nov.	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	90
2017	Q3	Aug	2017	T3	août	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	10
2025	Q2	Apr	2025	T2	avr.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	20
2024	Q3	Jul	2024	T3	juil.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	65
2023	Q1	Jan	2023	T1	janv.	Manitoba	Manitoba	Skilled Trade	Métiers spécialisés	--
2018	Q4	Nov	2018	T4	nov.	Nova Scotia	Nouvelle-Écosse	Skilled Trade	Métiers spécialisés	--
2022	Q2	Jun	2022	T2	juin	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2021	Q2	Jun	2021	T2	juin	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	460
2017	Q1	Mar	2017	T1	mars	Ontario	Ontario	Skilled Trade	Métiers spécialisés	25
2022	Q3	Aug	2022	T3	août	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2017	Q4	Dec	2017	T4	déc.	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	390
2016	Q2	May	2016	T2	mai	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	405
2019	Q4	Dec	2019	T4	déc.	Alberta	Alberta	Skilled Trade	Métiers spécialisés	45
2017	Q4	Nov	2017	T4	nov.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	25
2019	Q2	Apr	2019	T2	avr.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	20
2020	Q2	May	2020	T2	mai	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	--
2025	Q2	May	2025	T2	mai	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	130
2016	Q1	Mar	2016	T1	mars	Saskatchewan	Saskatchewan	Skilled Worker	Travailleurs qualifiés	25
2016	Q4	Dec	2016	T4	déc.	Northwest Territories	Territoires du Nord-Ouest	Skilled Worker	Travailleurs qualifiés	--
2019	Q1	Feb	2019	T1	fév.	Ontario	Ontario	Skilled Trade	Métiers spécialisés	5
2017	Q1	Mar	2017	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	--
2020	Q3	Sep	2020	T3	sept.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	--
2017	Q2	May	2017	T2	mai	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	295
2023	Q3	Aug	2023	T3	août	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	90
2015	Q4	Nov	2015	T4	nov.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	5
2020	Q1	Feb	2020	T1	fév.	Prince Edward Island	Île-du-Prince-Édouard	Skilled Worker	Travailleurs qualifiés	--
2020	Q1	Feb	2020	T1	fév.	Yukon	Yukon	Skilled Worker	Travailleurs qualifiés	--
2025	Q2	May	2025	T2	mai	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	140
2016	Q3	Jul	2016	T3	juil.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	200
2023	Q3	Sep	2023	T3	sept.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	325
2022	Q1	Jan	2022	T1	janv.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	20
2019	Q4	Nov	2019	T4	nov.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	75
2025	Q3	Jul	2025	T3	juil.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	3095
2024	Q4	Dec	2024	T4	déc.	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	65
2017	Q1	Feb	2017	T1	fév.	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2019	Q4	Dec	2019	T4	déc.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	40
2023	Q1	Feb	2023	T1	fév.	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	10
2022	Q2	Apr	2022	T2	avr.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	2005
2021	Q1	Feb	2021	T1	fév.	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	1265
2025	Q1	Feb	2025	T1	fév.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	470
2016	Q1	Jan	2016	T1	janv.	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2021	Q4	Oct	2021	T4	oct.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	105
2021	Q1	Feb	2021	T1	fév.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	795
2017	Q1	Jan	2017	T1	janv.	Yukon	Yukon	Skilled Worker	Travailleurs qualifiés	--
2023	Q4	Dec	2023	T4	déc.	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2023	Q4	Dec	2023	T4	déc.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	390
2019	Q4	Nov	2019	T4	nov.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	60
2022	Q2	May	2022	T2	mai	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	550
2025	Q2	May	2025	T2	mai	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	75
2023	Q3	Jul	2023	T3	juil.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	5
2018	Q2	Jun	2018	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	5
2022	Q3	Aug	2022	T3	août	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	555
2015	Q4	Oct	2015	T4	oct.	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	--
2021	Q1	Jan	2021	T1	janv.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	20
2023	Q2	Apr	2023	T2	avr.	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	150
2022	Q3	Sep	2022	T3	sept.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	40
2018	Q3	Sep	2018	T3	sept.	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	30
2024	Q2	May	2024	T2	mai	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	285
2019	Q2	Jun	2019	T2	juin	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	30
2019	Q2	Apr	2019	T2	avr.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	400
2026	Q1	Mar	2026	T1	mars	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	260
2015	Q4	Oct	2015	T4	oct.	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	20
2019	Q4	Nov	2019	T4	nov.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2022	Q4	Oct	2022	T4	oct.	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	320
2024	Q1	Jan	2024	T1	janv.	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	255
2018	Q4	Nov	2018	T4	nov.	Alberta	Alberta	Skilled Trade	Métiers spécialisés	5
2026	Q2	May	2026	T2	mai	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2018	Q1	Mar	2018	T1	mars	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2025	Q4	Oct	2025	T4	oct.	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	95
2021	Q4	Oct	2021	T4	oct.	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	3245
2023	Q1	Feb	2023	T1	fév.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	1755
2015	Q1	Jan	2015	T1	janv.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	--
2024	Q2	Apr	2024	T2	avr.	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2025	Q3	Sep	2025	T3	sept.	Nunavut	Nunavut	Canadian Experience	Catégorie de l’expérience canadienne	--
2020	Q4	Nov	2020	T4	nov.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	505
2019	Q1	Mar	2019	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	--
2026	Q1	Feb	2026	T1	fév.	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	5
2025	Q1	Feb	2025	T1	fév.	Saskatchewan	Saskatchewan	Skilled Worker	Travailleurs qualifiés	15
2023	Q4	Nov	2023	T4	nov.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	15
2018	Q2	May	2018	T2	mai	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	65
2017	Q2	May	2017	T2	mai	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	290
2019	Q4	Oct	2019	T4	oct.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	60
